query	case	depth_cap	run	ms
shortest-path	d1-artist-artist	10	1	5.000
shortest-path	d1-artist-artist	10	2	5.000
shortest-path	d1-artist-artist	10	3	2.000
shortest-path	d1-artist-release	10	1	3.000
shortest-path	d1-artist-release	10	2	4.000
shortest-path	d1-artist-release	10	3	3.000
shortest-path	d2-artist-artist	10	1	9.000
shortest-path	d2-artist-artist	10	2	8.000
shortest-path	d2-artist-artist	10	3	9.000
shortest-path	d3-artist-artist	10	1	9.000
shortest-path	d3-artist-artist	10	2	10.000
shortest-path	d3-artist-artist	10	3	9.000
shortest-path	d4-artist-artist	10	1	5.000
shortest-path	d4-artist-artist	10	2	17.000
shortest-path	d4-artist-artist	10	3	4.000
shortest-path	d5-artist-artist	10	1	42.000
shortest-path	d5-artist-artist	10	2	36.000
shortest-path	d5-artist-artist	10	3	34.000
shortest-path	d6-artist-artist	10	1	35.000
shortest-path	d6-artist-artist	10	2	41.000
shortest-path	d6-artist-artist	10	3	34.000
shortest-path	unreachable	10	1	3.000
shortest-path	unreachable	10	2	2.000
shortest-path	unreachable	10	3	3.000
shortest-path	unreachable-cap	1	1	2.000
shortest-path	unreachable-cap	1	2	2.000
shortest-path	unreachable-cap	1	3	2.000
shortest-path	unreachable-cap	2	1	2.000
shortest-path	unreachable-cap	2	2	3.000
shortest-path	unreachable-cap	2	3	2.000
shortest-path	unreachable-cap	3	1	3.000
shortest-path	unreachable-cap	3	2	1.000
shortest-path	unreachable-cap	3	3	5.000
shortest-path	unreachable-cap	4	1	1.000
shortest-path	unreachable-cap	4	2	1.000
shortest-path	unreachable-cap	4	3	2.000
shortest-path	unreachable-cap	6	1	2.000
shortest-path	unreachable-cap	6	2	2.000
shortest-path	unreachable-cap	6	3	4.000
shortest-path	unreachable-cap	8	1	2.000
shortest-path	unreachable-cap	8	2	2.000
shortest-path	unreachable-cap	8	3	1.000
shortest-path	unreachable-cap	10	1	2.000
shortest-path	unreachable-cap	10	2	1.000
shortest-path	unreachable-cap	10	3	2.000
explore-traversal	explore-artist-5665	1	1	2.000
explore-traversal	explore-artist-5665	1	2	3.000
explore-traversal	explore-artist-5665	1	3	5.000
explore-traversal	explore-artist-5665	2	1	13.000
explore-traversal	explore-artist-5665	2	2	12.000
explore-traversal	explore-artist-5665	2	3	15.000
explore-traversal	explore-artist-5665	3	1	3435.000
explore-traversal	explore-artist-5665	3	2	3458.000
explore-traversal	explore-artist-5665	3	3	3251.000
