variant	case	depth_cap	run	ms
p1-naive-cte	d1-artist-artist	10	-	over-temp-limit
p2-bfs-uni	d1-artist-artist	10	1	12.523
p2-bfs-uni	d1-artist-artist	10	2	11.845
p2-bfs-uni	d1-artist-artist	10	3	10.707
p2-bfs-uni	d1-artist-artist	10	4	11.143
p2-bfs-uni	d1-artist-artist	10	5	12.292
p3-bfs-bi	d1-artist-artist	10	1	12.122
p3-bfs-bi	d1-artist-artist	10	2	12.548
p3-bfs-bi	d1-artist-artist	10	3	12.843
p3-bfs-bi	d1-artist-artist	10	4	13.271
p3-bfs-bi	d1-artist-artist	10	5	12.805
p4-adj-bi	d1-artist-artist	10	1	8.353
p4-adj-bi	d1-artist-artist	10	2	7.138
p4-adj-bi	d1-artist-artist	10	3	6.881
p4-adj-bi	d1-artist-artist	10	4	7.511
p4-adj-bi	d1-artist-artist	10	5	7.066
p2-bfs-uni	d1-artist-release	10	1	11.550
p2-bfs-uni	d1-artist-release	10	2	11.527
p2-bfs-uni	d1-artist-release	10	3	12.060
p2-bfs-uni	d1-artist-release	10	4	11.112
p2-bfs-uni	d1-artist-release	10	5	10.986
p3-bfs-bi	d1-artist-release	10	1	12.641
p3-bfs-bi	d1-artist-release	10	2	12.288
p3-bfs-bi	d1-artist-release	10	3	12.385
p3-bfs-bi	d1-artist-release	10	4	12.735
p3-bfs-bi	d1-artist-release	10	5	12.639
p4-adj-bi	d1-artist-release	10	1	7.693
p4-adj-bi	d1-artist-release	10	2	7.065
p4-adj-bi	d1-artist-release	10	3	7.074
p4-adj-bi	d1-artist-release	10	4	6.892
p4-adj-bi	d1-artist-release	10	5	7.043
p1-naive-cte	d2-artist-artist	10	-	over-temp-limit
p2-bfs-uni	d2-artist-artist	10	1	20.945
p2-bfs-uni	d2-artist-artist	10	2	20.494
p2-bfs-uni	d2-artist-artist	10	3	20.280
p2-bfs-uni	d2-artist-artist	10	4	20.533
p2-bfs-uni	d2-artist-artist	10	5	20.657
p3-bfs-bi	d2-artist-artist	10	1	162.167
p3-bfs-bi	d2-artist-artist	10	2	162.810
p3-bfs-bi	d2-artist-artist	10	3	162.421
p3-bfs-bi	d2-artist-artist	10	4	160.434
p3-bfs-bi	d2-artist-artist	10	5	162.539
