query	case	depth_cap	run	ms
shortest-path	d1-artist-artist	10	1	41.000
shortest-path	d1-artist-artist	10	2	4.000
shortest-path	d1-artist-artist	10	3	4.000
shortest-path	d1-artist-artist	10	4	3.000
shortest-path	d1-artist-release	10	1	42.000
shortest-path	d1-artist-release	10	2	2.000
shortest-path	d1-artist-release	10	3	2.000
shortest-path	d1-artist-release	10	4	2.000
shortest-path	d2-artist-artist	10	1	35.000
shortest-path	d2-artist-artist	10	2	6.000
shortest-path	d2-artist-artist	10	3	11.000
shortest-path	d2-artist-artist	10	4	8.000
shortest-path	d3-artist-artist	10	1	7.000
shortest-path	d3-artist-artist	10	2	7.000
shortest-path	d3-artist-artist	10	3	11.000
shortest-path	d3-artist-artist	10	4	5.000
shortest-path	d4-artist-artist	10	1	3.000
shortest-path	d4-artist-artist	10	2	4.000
shortest-path	d4-artist-artist	10	3	13.000
shortest-path	d4-artist-artist	10	4	5.000
shortest-path	d5-artist-artist	10	1	35.000
shortest-path	d5-artist-artist	10	2	33.000
shortest-path	d5-artist-artist	10	3	34.000
shortest-path	d5-artist-artist	10	4	34.000
shortest-path	d6-artist-artist	10	1	35.000
shortest-path	d6-artist-artist	10	2	39.000
shortest-path	d6-artist-artist	10	3	39.000
shortest-path	d6-artist-artist	10	4	35.000
shortest-path	unreachable	10	1	2.000
shortest-path	unreachable	10	2	4.000
shortest-path	unreachable	10	3	3.000
shortest-path	unreachable	10	4	2.000
shortest-path	unreachable-cap	1	1	23.000
shortest-path	unreachable-cap	1	2	2.000
shortest-path	unreachable-cap	1	3	2.000
shortest-path	unreachable-cap	1	4	4.000
shortest-path	unreachable-cap	2	1	24.000
shortest-path	unreachable-cap	2	2	3.000
shortest-path	unreachable-cap	2	3	3.000
shortest-path	unreachable-cap	2	4	2.000
shortest-path	unreachable-cap	3	1	22.000
shortest-path	unreachable-cap	3	2	3.000
shortest-path	unreachable-cap	3	3	3.000
shortest-path	unreachable-cap	3	4	2.000
shortest-path	unreachable-cap	4	1	27.000
shortest-path	unreachable-cap	4	2	3.000
shortest-path	unreachable-cap	4	3	3.000
shortest-path	unreachable-cap	4	4	3.000
shortest-path	unreachable-cap	6	1	20.000
shortest-path	unreachable-cap	6	2	3.000
shortest-path	unreachable-cap	6	3	3.000
shortest-path	unreachable-cap	6	4	2.000
shortest-path	unreachable-cap	8	1	21.000
shortest-path	unreachable-cap	8	2	3.000
shortest-path	unreachable-cap	8	3	3.000
shortest-path	unreachable-cap	8	4	4.000
shortest-path	unreachable-cap	10	1	2.000
shortest-path	unreachable-cap	10	2	2.000
shortest-path	unreachable-cap	10	3	3.000
shortest-path	unreachable-cap	10	4	2.000
explore-traversal	explore-artist-5665	1	1	53.000
explore-traversal	explore-artist-5665	1	2	3.000
explore-traversal	explore-artist-5665	1	3	3.000
explore-traversal	explore-artist-5665	1	4	3.000
explore-traversal	explore-artist-5665	2	1	53.000
explore-traversal	explore-artist-5665	2	2	23.000
explore-traversal	explore-artist-5665	2	3	10.000
explore-traversal	explore-artist-5665	2	4	7.000
explore-traversal	explore-artist-5665	3	1	3498.000
explore-traversal	explore-artist-5665	3	2	3356.000
explore-traversal	explore-artist-5665	3	3	3404.000
explore-traversal	explore-artist-5665	3	4	3270.000
